sample	mCG	cov_CG	mCH	cov_CH	mCA	cov_CA	mCGlevel	mCHlevel	mCAlevel
CGE_ADARB2_ADAM33-AF1	176400828	208252553	149716807	4125252227	105248326	1561628245	0.8470524152469814	0.03629276435998152	0.06739653072809272
CGE_ADARB2_ADAM33-AF2	65216846	76668721	64749442	1549094375	41604841	585962530	0.8506317198117861	0.041798255190230095	0.07100256222868039
CGE_ADARB2_ADAM33-AF3	142899089	168576760	149483119	3301672818	105630821	1246885497	0.8476796505046128	0.04527496431053091	0.08471573472796597
CGE_ADARB2_ADAM33-AM1	11897266	13964234	10444312	275192256	7420359	103563916	0.8519812830406595	0.037952783089942765	0.07165004266543958
CGE_ADARB2_ADAM33-AM2	61449188	70441296	80285543	1445196707	54567514	555618963	0.8723460738144284	0.05555336696459827	0.09821031612270584
CGE_ADARB2_ADAM33-AM3	153094590	180376189	151046541	3516125246	105530383	1323118689	0.8487516608968826	0.04295823681816595	0.07975881822042648
CGE_ADARB2_ADAM33-YF1	187695841	220561763	178323494	4457058183	121946240	1684099269	0.850989937906871	0.04000923628956809	0.07241036335845592
CGE_ADARB2_ADAM33-YF2	100154375	118376040	93235376	2325821959	65651820	879907048	0.8460696522708481	0.040087064978992226	0.07461222199461232
CGE_ADARB2_ADAM33-YM1	80911845	94371888	87083848	1855201878	60442629	699092920	0.8573723246905901	0.04694036214208705	0.08645864844404375
CGE_ADARB2_ADAM33-YM2	145793322	172001927	135714821	3385307209	95443892	1280064292	0.847626096654138	0.04008936637691129	0.0745617955258141
CGE_ADARB2_ADAM33-YM3	170580918	200297768	165581148	3984569730	116248031	1505344404	0.8516366393059358	0.04155559049533813	0.07722354478556921
CGE_LAMP5-AF1	239842947	283092618	197293174	5598102709	138993031	2117925007	0.8472243066401682	0.03524286428021662	0.06562698421361055
CGE_LAMP5-AF2	327498364	385078688	314294927	7720480921	211464469	2915548780	0.8504712782235303	0.04070924210758761	0.07252990258664099
CGE_LAMP5-AF3	325322929	384405957	294328579	7562386067	207664260	2857266684	0.8463004359737328	0.038920067871747815	0.07267934112096343
CGE_LAMP5-AM1	189035519	222869503	173087379	4418873006	123055634	1666502716	0.8481892607801077	0.039170027915484296	0.07384064413369969
CGE_LAMP5-AM2	247075890	286192381	271159318	5770746629	182107991	2206458317	0.8633209910643987	0.04698860224382934	0.08253407263437554
CGE_LAMP5-AM3	219832254	258975260	197759792	5054434267	137564414	1902162285	0.8488542650753589	0.03912599938061476	0.07232001974006125
CGE_LAMP5-YF1	222934736	262920752	206520754	5244873894	142687853	1978979791	0.8479160899402874	0.039375732986879707	0.07210172314488279
CGE_LAMP5-YF2	211075130	248679364	203422604	4899507734	143375945	1852889333	0.8487842602010194	0.0415189882420951	0.07737965913369528
CGE_LAMP5-YM1	131630076	153992666	139115067	3032624129	97203834	1143182023	0.8547814608261929	0.04587283523523004	0.08502918349337969
CGE_LAMP5-YM2	200858447	236470487	182275154	4683996256	128570670	1772114982	0.8494017564229908	0.03891445339361945	0.07255210373251052
CGE_LAMP5-YM3	287708628	338237915	267090260	6730938444	186954438	2542303316	0.8506102220976617	0.03968098389580221	0.07353742443846145
CGE_LAMP5_LHX6-AF1	103353754	121000022	98377913	2398505815	69969037	907546904	0.8541631008959651	0.04101633291224687	0.07709688247694138
CGE_LAMP5_LHX6-AF2	146296242	171130878	159372232	3424363958	110659040	1290896249	0.8548792813416174	0.046540681409659904	0.08572264431453933
CGE_LAMP5_LHX6-AF3	152886918	179562262	153522312	3526058190	109079563	1331138636	0.8514423704464137	0.043539358605990564	0.08194455487204415
CGE_LAMP5_LHX6-AM1	164809497	193627386	169233572	3847977733	121060154	1451799717	0.8511683207870192	0.043979872998916855	0.08338626367151993
CGE_LAMP5_LHX6-AM2	60077292	68971735	76773316	1387781697	52067417	530939949	0.8710422030125818	0.0553208881238041	0.09806648962479936
CGE_LAMP5_LHX6-AM3	134956874	157951168	139687092	3078067998	97732557	1157973644	0.8544215007007735	0.04538141850367271	0.08439963854652291
CGE_LAMP5_LHX6-YF1	60542450	70953409	62853979	1436403444	43194090	542522800	0.8532704890895376	0.043757886589973954	0.07961709627687537
CGE_LAMP5_LHX6-YF2	97189164	113800410	107697470	2275025369	76226090	860912699	0.8540317561246045	0.04733901936545834	0.08854102174185724
CGE_LAMP5_LHX6-YM1	42049009	48821532	53153718	958547870	37340482	361260065	0.8612799983417153	0.055452335416487857	0.10336177623175703
CGE_LAMP5_LHX6-YM2	53524887	62820131	56264392	1237786888	39866271	467217354	0.8520339920972149	0.045455637432798526	0.08532703389266658
CGE_LAMP5_LHX6-YM3	71537515	83698537	70266296	1671945157	49629107	631821987	0.8547044854559406	0.04202667516085278	0.07854919268581896
CGE_PAX6-AF1	49959661	58518968	47188648	1160110459	33645387	438994046	0.8537344848596783	0.04067599566396117	0.07664201213334908
CGE_PAX6-AF2	22811306	26637078	23802754	535885709	15744719	202531750	0.8563741863878613	0.044417594274752344	0.07773950997806517
CGE_PAX6-AF3	18684981	21825563	20377124	431055635	14530722	162990185	0.856105338496881	0.047272607861859876	0.08915090193927935
CGE_PAX6-AM1	13479127	15772399	16217614	310306909	11607985	116831037	0.8546022073116462	0.052263141843225926	0.09935703129982489
CGE_PAX6-AM2	17106205	19720634	21344089	393347715	14517090	149599364	0.8674267267472232	0.05426264901526122	0.09703978420656922
CGE_PAX6-AM3	29590812	34613841	31902842	680533044	22405277	255692549	0.8548838021183491	0.0468791960673698	0.08762585021591693
CGE_PAX6-YF1	43053795	50394587	44867088	995947520	31623179	375613103	0.8543337204053284	0.045049650808910095	0.08419083026504535
CGE_PAX6-YF2	34871873	41015640	34057684	812438622	24192344	307331278	0.8502091641139818	0.041920316289443954	0.07871748088068016
CGE_PAX6-YM1	21120975	24716533	23067116	482507282	16069065	181514994	0.8545282220609177	0.04780677278980424	0.08852747999429733
CGE_PAX6-YM2	25850465	30418596	25168346	599693416	17840222	226560462	0.8498243968919539	0.04196868821384559	0.07874375715211951
CGE_PAX6-YM3	40883126	47704266	42628405	954659066	30022302	361264697	0.8570119494134969	0.04465301437780511	0.08310333738477635
CGE_VIP-AF1	461992269	539857610	567661779	10648569401	403013441	4026053664	0.8557668919402656	0.05330873637792991	0.1001013584601837
CGE_VIP-AF2	221617440	259280518	243838624	5228122989	162804547	1971300654	0.854740038740589	0.046639802566435	0.08258737532991252
CGE_VIP-AF3	371339242	434320729	496412834	8492381521	350963358	3205322167	0.8549885308375414	0.05845390162611843	0.10949394154924584
CGE_VIP-AM1	178744426	208989498	235092574	4077113754	167128883	1533641334	0.8552794648083226	0.057661519443590194	0.10897520775871317
CGE_VIP-AM2	285772737	329150041	429685950	6530951219	296345992	2481754789	0.8682141923233119	0.06579224612028142	0.11940986003674031
CGE_VIP-AM3	349620559	407872129	461131153	7978085129	324877471	3000950853	0.8571817835584447	0.05779972832375627	0.10825817779562283
CGE_VIP-YF1	570913203	667632460	691338767	13375977628	481229623	5046593184	0.8551309847936392	0.05168510192128441	0.09535732432836418
CGE_VIP-YF2	426140710	498819594	530133862	9822297895	375164800	3712994147	0.8542982575780694	0.05397248868514388	0.10104104265909579
CGE_VIP-YM1	236136102	274164071	319258779	5380771422	223390734	2026053664	0.861294848514268	0.05933327286393694	0.11025904099645803
CGE_VIP-YM2	519707708	609753661	608517422	12044405141	429943328	4547753479	0.8523240469727987	0.05052282905434358	0.09453971724398301
CGE_VIP-YM3	722504957	842181826	912807500	16701923702	645305494	6306179779	0.857896637869267	0.05465283618142108	0.10232906713965093
L2-4IT_CUX2-AF1	1391496264	1693724284	1501625280	33705209198	1064161957	12763758092	0.8215600833884011	0.0445517270395433	0.08337371715521542
